clean_adm1,clean_adm1 recoded
Jigawa,North West
Osun,South West
Plateau,North Central
Bauchi,North East
Kaduna,North West
Yobe,North East
Kano,North West
Gombe,North East
Imo,South East
Abia,South East
Anambra,South East
Niger,North Central
Katsina,North West
Federal Capital Territory,North Central
Kogi,North Central
Kwara,North Central
Akwa Ibom,Niger Delta
Cross River,Niger Delta
Oyo,South West
Enugu,South East
Benue,North Central
Sokoto,North West
Kebbi,North West
Ekiti,South West
Nassarawa,North Central
Rivers,Niger Delta
Ondo,South West
Bayelsa,Niger Delta
Delta,Niger Delta
Zamfara,North West
Taraba,North East
Edo,Niger Delta
Adamawa,North East
Borno,North East
Ogun,South West
Lagos,South West
Ebonyi,South East
